,name,price,square,num_of_room,poverh
634,,560 000 $,140 м²,2,8
635,,550 000 $,140 м²,5,4
636,,135 000 $,54 м²,2,3
637,,250 000 $,156 м²,3,8
638,,350 000 $,137 м²,4,2
639,,290 000 $,136 м²,4,12
640,,180 000 $,80 м²,3,15
641,,640 000 $,140 м²,3,9
642,,295 000 $,95 м²,3,14
643,,437 000 $,154 м²,4,36
644,,127 000 $,73 м²,3,5
645,,75 000 $,63 м²,3,8
646,,370 000 $,130 м²,3,11
647,,180 000 $,47 м²,2,3
648,,185 000 $,96 м²,3,11
649,,450 000 $,140 м²,4,5
650,,132 000 $,87 м²,2,12
651,,230 000 $,111 м²,3,10
652,,125 000 $,67 м²,2,22
653,,190 000 $,99 м²,3,16
654,,115 000 $,46 м²,1,13
655,,144 000 $,60 м²,1,23
656,,155 000 $,100 м²,10,18
657,,145 000 $,66 м²,2,14
658,,145 000 $,72 м²,2,7
659,,125 000 $,68 м²,3,9
660,,61 500 $,45 м²,2,3
661,,80 000 $,45 м²,1,2
662,,165 000 $,68 м²,1,17
663,,111 000 $,51 м²,1,18
664,,150 000 $,92 м²,3,12
665,,90 000 $,49 м²,1,3
666,,210 000 $,98 м²,3,9
667,,125 000 $,45 м²,1,2
668,,89 900 $,42 м²,2,10
669,,61 000 $,61 м²,2,9
670,,125 000 $,62 м²,2,2
671,,107 000 $,42 м²,1,13
672,,86 000 $,86 м²,4,9
673,,148 000 $,78 м²,2,8
674,,150 000 $,95 м²,4,4
675,,105 000 $,53 м²,2,8
676,,110 000 $,50 м²,1,17
677,,105 000 $,49 м²,1,7
678,,215 000 $,51 м²,2,30
679,,350 000 $,64 м²,1,3
680,,230 000 $,91 м²,2,5
681,,140 000 $,100 м²,3,7
682,,168 000 $,76 м²,3,16
683,,115 000 $,62 м²,2,18
684,,150 000 $,60 м²,2,23
685,,510 000 $,250 м²,4,Цокольний
686,,90 000 $,46 м²,1,1
687,,149 000 $,57 м²,2,1
688,,99 000 $,32 м²,2,2
689,,130 000 $,39 м²,1,3
690,,300 000 $,180 м²,3,5
691,,149 990 $,62 м²,2,5
692,,151 000 $,75 м²,2,18
693,,230 000 $,113 м²,4,7
694,,45 000 $,31 м²,1,3
695,,70 000 $,40 м²,1,8
696,,55 000 $,26 м²,1,5
697,,138 000 $,57 м²,1,8
698,,230 000 $,87 м²,3,2
699,,175 000 $,72 м²,2,5
700,,220 000 $,110 м²,2,11
701,,650 000 $,325 м²,1,4
702,,165 000 $,50 м²,3,7
703,,35 000 $,28 м²,1,4
704,,93 000 $,46 м²,1,1
705,,175 000 $,78 м²,1,5
706,,150 000 $,69 м²,2,19
707,,86 500 $,58 м²,1,9
708,,189 000 $,83 м²,2,16
709,,150 000 $,74 м²,2,20
710,,118 000 $,48 м²,1,10
711,,120 000 $,60 м²,1,3
712,,129 000 $,68 м²,2,5
713,,269 999 $,72 м²,1,3
714,,155 000 $,72 м²,3,4
715,,75 000 $,35 м²,1,1
716,,55 000 $,55 м²,1,3
717,,59 800 $,55 м²,2,2
718,,50 000 $,42 м²,2,5
719,,90 000 $,63 м²,2,17
720,,23 500 $,40 м²,1,19
721,,110 000 $,61 м²,1,5
722,,69 000 $,44 м²,1,18
723,,105 000 $,45 м²,2,2
724,,65 000 $,63 м²,2,20
725,,211 140 $,78 м²,2,3
726,,230 000 $,92 м²,3,3
727,,186 000 $,85 м²,3,4
728,,215 000 $,51 м²,1,30
729,,130 000 $,63 м²,1,20
730,,100 000 $,56 м²,2,3
731,,219 000 $,49 м²,1,13
732,,280 000 $,90 м²,3,5
733,,120 000 $,59 м²,2,4
734,,100 000 $,44 м²,1,2
735,,43 000 $,45 м²,2,1
736,,76 000 $,38 м²,1,5
737,,115 000 $,102 м²,4,21
738,,130 000 $,66 м²,2,20
739,,105 000 $,61 м²,2,8
740,,380 000 $,91 м²,4,2
741,,45 000 $,43 м²,2,1
742,,150 000 $,85 м²,2,7
743,,150 000 $,95 м²,3,5
744,,300 000 $,138 м²,3,14
745,,289 000 $,90 м²,3,4
746,,155 000 $,53 м²,2,21
747,,220 000 $,55 м²,2,2
748,,100 000 $,49 м²,3,5
749,,150 000 $,52 м²,2,2
750,,120 000 $,39 м²,1,23
751,,95 000 $,45 м²,1,21
752,,78 000 $,35 м²,1,2
753,,65 000 $,42 м²,2,4
754,,105 000 $,46 м²,2,11
755,,84 000 $,43 м²,1,5
756,,220 000 $,69 м²,2,6
757,,65 000 $,55 м²,3,1
758,,102 000 $,66 м²,2,1
759,,112 000 $,30 м²,1,7
760,,97 000 $,57 м²,1,9
761,,310 000 $,137 м²,3,6
762,,95 000 $,51 м²,2,4
763,,349 900 $,138 м²,3,6
764,,110 000 $,29 м²,1,Цокольний
765,,185 000 $,118 м²,3,7
766,,160 000 $,80 м²,2,2
767,,65 000 $,41 м²,1,9
768,,320 000 $,105 м²,3,13
769,,180 000 $,77 м²,2,6
770,,87 000 $,52 м²,2,21
