,name,price,square,num_of_room,poverh
754,,150 000 $,82 м²,2,11
755,,220 000 $,116 м²,3,7
756,,309 000 $,155 м²,4,4
757,,59 900 $,33 м²,1,7
758,,90 000 $,32 м²,1,2
759,,70 000 $,50 м²,2,9
760,,160 000 $,74 м²,2,3
761,,77 900 $,72 м²,3,11
762,,98 000 $,41 м²,1,11
763,,342 000 $,122 м²,1,8
764,,268 000 $,78 м²,2,3
765,,240 000 $,150 м²,5,5
766,,1 450 000 $,200 м²,4,5
767,,330 000 $,86 м²,2,16
768,,115 000 $,85 м²,3,15
769,,230 000 $,86 м²,2,6
770,,210 000 $,220 м²,5,15
